,Participant_ID,Language,Study group,Session order,Treatment,Task_type,Task,Task_D1,Task_D2,Task_D3,Task_D4,Task_E1,Task_E2,Task_E3,Task_E4,Education,Position,year_experience,Completeness,question_score,Experiment,Task_Questions_type,All lines,Comment lines,Blank lines,Code lines
26,14,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,Bachelor,Master,6,72.0,1,M1,closed,226,0,35,191
26,14,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,Bachelor,Master,6,72.0,1,M1,open,226,0,35,191
26,14,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,Bachelor,Master,6,72.0,1,M1,open,226,0,35,191
27,14,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,Bachelor,Master,6,10.0,1,M1,closed,101,15,51,35
27,14,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,Bachelor,Master,6,10.0,1,M1,closed,101,15,51,35
27,14,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,Bachelor,Master,6,10.0,1,M1,closed,101,15,51,35
27,14,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,Bachelor,Master,6,10.0,1,M1,closed,101,15,51,35
27,14,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,Bachelor,Master,6,10.0,1,M1,closed,101,15,51,35
27,14,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,Bachelor,Master,6,10.0,1,M1,open,101,15,51,35
27,14,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,Bachelor,Master,6,10.0,1,M1,open,101,15,51,35
27,14,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,Bachelor,Master,6,10.0,1,M1,open,101,15,51,35
28,15,Java,D,First,NAI,E,E2,0,0,0,0,0,1,0,0,Bachelor,Bachelor,4,30.0,1,M1,closed,165,3,25,137
28,15,Java,D,First,NAI,E,E2,0,0,0,0,0,1,0,0,Bachelor,Bachelor,4,30.0,1,M1,closed,165,3,25,137
28,15,Java,D,First,NAI,E,E2,0,0,0,0,0,1,0,0,Bachelor,Bachelor,4,30.0,0,M1,closed,165,3,25,137
28,15,Java,D,First,NAI,E,E2,0,0,0,0,0,1,0,0,Bachelor,Bachelor,4,30.0,1,M1,open,165,3,25,137
28,15,Java,D,First,NAI,E,E2,0,0,0,0,0,1,0,0,Bachelor,Bachelor,4,30.0,1,M1,open,165,3,25,137
28,15,Java,D,First,NAI,E,E2,0,0,0,0,0,1,0,0,Bachelor,Bachelor,4,30.0,1,M1,open,165,3,25,137
29,15,Java,D,Second,WAI,D,D2,0,1,0,0,0,0,0,0,Bachelor,Bachelor,4,100.0,1,M1,closed,403,11,37,355
29,15,Java,D,Second,WAI,D,D2,0,1,0,0,0,0,0,0,Bachelor,Bachelor,4,100.0,1,M1,closed,403,11,37,355
29,15,Java,D,Second,WAI,D,D2,0,1,0,0,0,0,0,0,Bachelor,Bachelor,4,100.0,1,M1,closed,403,11,37,355
29,15,Java,D,Second,WAI,D,D2,0,1,0,0,0,0,0,0,Bachelor,Bachelor,4,100.0,1,M1,closed,403,11,37,355
29,15,Java,D,Second,WAI,D,D2,0,1,0,0,0,0,0,0,Bachelor,Bachelor,4,100.0,1,M1,open,403,11,37,355
29,15,Java,D,Second,WAI,D,D2,0,1,0,0,0,0,0,0,Bachelor,Bachelor,4,100.0,1,M1,open,403,11,37,355
29,15,Java,D,Second,WAI,D,D2,0,1,0,0,0,0,0,0,Bachelor,Bachelor,4,100.0,0,M1,open,403,11,37,355
30,16,Python,A,First,WAI,D,D1,1,0,0,0,0,0,0,0,Bachelor,Professional developer,10,100.0,1,M2,closed,183,33,42,108
30,16,Python,A,First,WAI,D,D1,1,0,0,0,0,0,0,0,Bachelor,Professional developer,10,100.0,1,M2,closed,183,33,42,108
30,16,Python,A,First,WAI,D,D1,1,0,0,0,0,0,0,0,Bachelor,Professional developer,10,100.0,1,M2,closed,183,33,42,108
30,16,Python,A,First,WAI,D,D1,1,0,0,0,0,0,0,0,Bachelor,Professional developer,10,100.0,1,M2,open,183,33,42,108
30,16,Python,A,First,WAI,D,D1,1,0,0,0,0,0,0,0,Bachelor,Professional developer,10,100.0,1,M2,open,183,33,42,108
30,16,Python,A,First,WAI,D,D1,1,0,0,0,0,0,0,0,Bachelor,Professional developer,10,100.0,1,M2,open,183,33,42,108
31,16,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,Bachelor,Professional developer,10,50.0,1,M2,closed,155,5,25,125
31,16,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,Bachelor,Professional developer,10,50.0,1,M2,closed,155,5,25,125
31,16,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,Bachelor,Professional developer,10,50.0,1,M2,closed,155,5,25,125
31,16,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,Bachelor,Professional developer,10,50.0,1,M2,closed,155,5,25,125
31,16,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,Bachelor,Professional developer,10,50.0,1,M2,closed,155,5,25,125
31,16,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,Bachelor,Professional developer,10,50.0,1,M2,closed,155,5,25,125
31,16,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,Bachelor,Professional developer,10,50.0,1,M2,open,155,5,25,125
31,16,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,Bachelor,Professional developer,10,50.0,1,M2,open,155,5,25,125
31,16,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,Bachelor,Professional developer,10,50.0,1,M2,open,155,5,25,125
32,17,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,8,88.0,1,M2,closed,197,4,45,148
32,17,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,8,88.0,1,M2,closed,197,4,45,148
32,17,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,8,88.0,1,M2,closed,197,4,45,148
32,17,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,8,88.0,1,M2,closed,197,4,45,148
32,17,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,8,88.0,1,M2,closed,197,4,45,148
32,17,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,8,88.0,1,M2,closed,197,4,45,148
32,17,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,8,88.0,1,M2,open,197,4,45,148
32,17,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,8,88.0,1,M2,open,197,4,45,148
32,17,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,8,88.0,1,M2,open,197,4,45,148
33,17,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,8,8.0,1,M2,closed,73,1,15,57
33,17,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,8,8.0,1,M2,closed,73,1,15,57
33,17,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,8,8.0,1,M2,closed,73,1,15,57
33,17,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,8,8.0,1,M2,closed,73,1,15,57
33,17,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,8,8.0,1,M2,closed,73,1,15,57
33,17,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,8,8.0,1,M2,closed,73,1,15,57
33,17,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,8,8.0,1,M2,open,73,1,15,57
33,17,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,8,8.0,1,M2,open,73,1,15,57
34,18,Python,C,First,NAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,8,35.0,1,M2,closed,88,0,20,68
34,18,Python,C,First,NAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,8,35.0,1,M2,closed,88,0,20,68
34,18,Python,C,First,NAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,8,35.0,1,M2,closed,88,0,20,68
34,18,Python,C,First,NAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,8,35.0,1,M2,closed,88,0,20,68
34,18,Python,C,First,NAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,8,35.0,1,M2,closed,88,0,20,68
34,18,Python,C,First,NAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,8,35.0,1,M2,closed,88,0,20,68
34,18,Python,C,First,NAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,8,35.0,1,M2,open,88,0,20,68
34,18,Python,C,First,NAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,8,35.0,1,M2,open,88,0,20,68
34,18,Python,C,First,NAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,8,35.0,1,M2,open,88,0,20,68
35,18,Python,C,Second,WAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,8,95.0,0,M2,closed,166,9,28,129
35,18,Python,C,Second,WAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,8,95.0,1,M2,closed,166,9,28,129
35,18,Python,C,Second,WAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,8,95.0,1,M2,closed,166,9,28,129
35,18,Python,C,Second,WAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,8,95.0,1,M2,open,166,9,28,129
35,18,Python,C,Second,WAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,8,95.0,1,M2,open,166,9,28,129
36,19,Python,D,First,NAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,9,70.0,1,M2,closed,155,14,28,113
36,19,Python,D,First,NAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,9,70.0,1,M2,closed,155,14,28,113
36,19,Python,D,First,NAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,9,70.0,1,M2,closed,155,14,28,113
36,19,Python,D,First,NAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,9,70.0,1,M2,closed,155,14,28,113
36,19,Python,D,First,NAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,9,70.0,1,M2,closed,155,14,28,113
36,19,Python,D,First,NAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,9,70.0,1,M2,closed,155,14,28,113
36,19,Python,D,First,NAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,9,70.0,1,M2,open,155,14,28,113
36,19,Python,D,First,NAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,9,70.0,1,M2,open,155,14,28,113
36,19,Python,D,First,NAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,9,70.0,1,M2,open,155,14,28,113
37,19,Python,D,Second,WAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,9,84.0,1,M2,closed,150,5,28,117
37,19,Python,D,Second,WAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,9,84.0,1,M2,closed,150,5,28,117
37,19,Python,D,Second,WAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,9,84.0,1,M2,closed,150,5,28,117
37,19,Python,D,Second,WAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,9,84.0,1,M2,closed,150,5,28,117
37,19,Python,D,Second,WAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,9,84.0,1,M2,closed,150,5,28,117
37,19,Python,D,Second,WAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,9,84.0,1,M2,closed,150,5,28,117
37,19,Python,D,Second,WAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,9,84.0,1,M2,open,150,5,28,117
37,19,Python,D,Second,WAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,9,84.0,1,M2,open,150,5,28,117
37,19,Python,D,Second,WAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,9,84.0,1,M2,open,150,5,28,117
38,20,Python,A,First,WAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,7,81.0,1,M2,closed,182,0,42,140
38,20,Python,A,First,WAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,7,81.0,1,M2,closed,182,0,42,140
38,20,Python,A,First,WAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,7,81.0,1,M2,closed,182,0,42,140
38,20,Python,A,First,WAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,7,81.0,1,M2,closed,182,0,42,140
38,20,Python,A,First,WAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,7,81.0,1,M2,closed,182,0,42,140
38,20,Python,A,First,WAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,7,81.0,1,M2,closed,182,0,42,140
38,20,Python,A,First,WAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,7,81.0,1,M2,open,182,0,42,140
38,20,Python,A,First,WAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,7,81.0,1,M2,open,182,0,42,140
39,20,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,7,70.0,1,M2,closed,132,6,22,104
39,20,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,7,70.0,1,M2,closed,132,6,22,104
39,20,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,7,70.0,1,M2,closed,132,6,22,104
39,20,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,7,70.0,1,M2,closed,132,6,22,104
39,20,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,7,70.0,1,M2,closed,132,6,22,104
39,20,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,7,70.0,1,M2,closed,132,6,22,104
39,20,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,7,70.0,1,M2,open,132,6,22,104
39,20,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,7,70.0,1,M2,open,132,6,22,104
40,21,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,8,65.0,1,M2,closed,155,22,39,94
40,21,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,8,65.0,1,M2,closed,155,22,39,94
40,21,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,8,65.0,1,M2,closed,155,22,39,94
40,21,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,8,65.0,0,M2,closed,155,22,39,94
40,21,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,8,65.0,0,M2,closed,155,22,39,94
40,21,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,8,65.0,1,M2,closed,155,22,39,94
40,21,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,8,65.0,1,M2,open,155,22,39,94
40,21,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,8,65.0,1,M2,open,155,22,39,94
41,21,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,8,58.0,1,M2,closed,88,13,19,56
41,21,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,8,58.0,1,M2,closed,88,13,19,56
41,21,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,8,58.0,1,M2,closed,88,13,19,56
41,21,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,8,58.0,1,M2,closed,88,13,19,56
41,21,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,8,58.0,1,M2,closed,88,13,19,56
41,21,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,8,58.0,1,M2,closed,88,13,19,56
41,21,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,8,58.0,1,M2,open,88,13,19,56
41,21,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,8,58.0,1,M2,open,88,13,19,56
41,21,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,8,58.0,1,M2,open,88,13,19,56
42,22,Java,A,First,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,1,45.0,1,S2,closed,805,0,132,673
42,22,Java,A,First,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,1,45.0,1,S2,closed,805,0,132,673
42,22,Java,A,First,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,1,45.0,1,S2,closed,805,0,132,673
42,22,Java,A,First,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,1,45.0,1,S2,closed,805,0,132,673
42,22,Java,A,First,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,1,45.0,1,S2,closed,805,0,132,673
42,22,Java,A,First,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,1,45.0,1,S2,closed,805,0,132,673
42,22,Java,A,First,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,1,45.0,1,S2,open,805,0,132,673
42,22,Java,A,First,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,1,45.0,1,S2,open,805,0,132,673
42,22,Java,A,First,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,1,45.0,1,S2,open,805,0,132,673
43,22,Java,A,Second,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,1,100.0,1,S2,closed,171,3,49,119
43,22,Java,A,Second,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,1,100.0,1,S2,closed,171,3,49,119
43,22,Java,A,Second,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,1,100.0,0,S2,closed,171,3,49,119
43,22,Java,A,Second,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,1,100.0,1,S2,closed,171,3,49,119
43,22,Java,A,Second,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,1,100.0,1,S2,closed,171,3,49,119
43,22,Java,A,Second,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,1,100.0,1,S2,closed,171,3,49,119
43,22,Java,A,Second,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,1,100.0,1,S2,open,171,3,49,119
43,22,Java,A,Second,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,1,100.0,1,S2,open,171,3,49,119
44,23,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,3,65.0,0,S2,closed,835,1,141,693
44,23,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,3,65.0,1,S2,closed,835,1,141,693
44,23,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,3,65.0,1,S2,closed,835,1,141,693
44,23,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,3,65.0,1,S2,closed,835,1,141,693
44,23,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,3,65.0,1,S2,closed,835,1,141,693
44,23,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,3,65.0,1,S2,closed,835,1,141,693
44,23,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,3,65.0,1,S2,open,835,1,141,693
44,23,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,3,65.0,1,S2,open,835,1,141,693
44,23,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,3,65.0,1,S2,open,835,1,141,693
45,23,Java,C,Second,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,3,90.0,1,S2,closed,188,3,57,128
45,23,Java,C,Second,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,3,90.0,1,S2,closed,188,3,57,128
45,23,Java,C,Second,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,3,90.0,1,S2,closed,188,3,57,128
45,23,Java,C,Second,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,3,90.0,1,S2,closed,188,3,57,128
45,23,Java,C,Second,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,3,90.0,1,S2,open,188,3,57,128
45,23,Java,C,Second,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,3,90.0,1,S2,open,188,3,57,128
45,23,Java,C,Second,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,3,90.0,0,S2,open,188,3,57,128
46,24,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,5.0,1,S2,closed,805,9,140,656
46,24,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,5.0,1,S2,closed,805,9,140,656
46,24,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,5.0,1,S2,closed,805,9,140,656
46,24,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,5.0,1,S2,closed,805,9,140,656
46,24,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,5.0,0,S2,closed,805,9,140,656
46,24,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,5.0,0,S2,closed,805,9,140,656
46,24,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,5.0,1,S2,open,805,9,140,656
46,24,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,5.0,1,S2,open,805,9,140,656
46,24,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,5.0,1,S2,open,805,9,140,656
47,24,Java,C,Second,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,100.0,0,S2,closed,171,5,55,111
47,24,Java,C,Second,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,100.0,0,S2,closed,171,5,55,111
47,24,Java,C,Second,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,100.0,1,S2,closed,171,5,55,111
47,24,Java,C,Second,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,100.0,1,S2,closed,171,5,55,111
47,24,Java,C,Second,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,100.0,0,S2,closed,171,5,55,111
47,24,Java,C,Second,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,100.0,1,S2,closed,171,5,55,111
47,24,Java,C,Second,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,100.0,1,S2,open,171,5,55,111
47,24,Java,C,Second,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,100.0,1,S2,open,171,5,55,111
48,25,Java,A,First,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,85.0,1,S2,closed,823,15,150,658
48,25,Java,A,First,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,85.0,1,S2,closed,823,15,150,658
48,25,Java,A,First,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,85.0,1,S2,closed,823,15,150,658
48,25,Java,A,First,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,85.0,1,S2,closed,823,15,150,658
48,25,Java,A,First,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,85.0,1,S2,closed,823,15,150,658
48,25,Java,A,First,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,85.0,0,S2,closed,823,15,150,658
48,25,Java,A,First,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,85.0,1,S2,open,823,15,150,658
48,25,Java,A,First,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,85.0,1,S2,open,823,15,150,658
48,25,Java,A,First,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,85.0,1,S2,open,823,15,150,658
49,25,Java,A,Second,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,50.0,1,S2,closed,179,4,56,119
49,25,Java,A,Second,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,50.0,1,S2,closed,179,4,56,119
49,25,Java,A,Second,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,50.0,0,S2,closed,179,4,56,119
49,25,Java,A,Second,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,50.0,0,S2,closed,179,4,56,119
49,25,Java,A,Second,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,50.0,0,S2,closed,179,4,56,119
49,25,Java,A,Second,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,50.0,0,S2,closed,179,4,56,119
49,25,Java,A,Second,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,50.0,1,S2,open,179,4,56,119
49,25,Java,A,Second,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,50.0,1,S2,open,179,4,56,119
50,26,Java,B,First,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,5,60.0,1,S2,closed,200,8,55,137
50,26,Java,B,First,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,5,60.0,1,S2,closed,200,8,55,137
50,26,Java,B,First,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,5,60.0,1,S2,closed,200,8,55,137
50,26,Java,B,First,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,5,60.0,1,S2,closed,200,8,55,137
50,26,Java,B,First,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,5,60.0,1,S2,closed,200,8,55,137
50,26,Java,B,First,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,5,60.0,0,S2,closed,200,8,55,137
50,26,Java,B,First,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,5,60.0,1,S2,open,200,8,55,137
50,26,Java,B,First,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,5,60.0,1,S2,open,200,8,55,137
51,26,Java,B,Second,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,5,10.0,1,S2,closed,810,8,133,669
51,26,Java,B,Second,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,5,10.0,1,S2,closed,810,8,133,669
51,26,Java,B,Second,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,5,10.0,1,S2,closed,810,8,133,669
51,26,Java,B,Second,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,5,10.0,1,S2,closed,810,8,133,669
51,26,Java,B,Second,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,5,10.0,1,S2,closed,810,8,133,669
51,26,Java,B,Second,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,5,10.0,1,S2,open,810,8,133,669
51,26,Java,B,Second,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,5,10.0,1,S2,open,810,8,133,669
51,26,Java,B,Second,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,5,10.0,1,S2,open,810,8,133,669
52,27,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,80.0,1,S2,closed,840,0,132,708
